productCode,userId,accountId,description,financialInstitution,abn,acn,arbn,lastDebitDateTime,lastDebitAmount,statusCode
L33,8194459,q2nCMNO4dNGsQpJhFj8pQw,ORIGIN ENERGY LTD. DEBIT,WBC,null,null,null,2022-02-24T14:00:00.000Z,56.8,200
L33,8194459,q2nCMNO4dNGsQpJhFj8pQw,NIB HEALTH FUNDS LTD B,NAB,null,null,null,2022-07-10T14:00:00.000Z,75.92,200
L29,8066523,CWy-gV925-gvwg0285lsnQ,AGL SALES PTY LTD,WBC,null,null,null,2022-07-12T14:00:00.000Z,465.7,200
L29,8066523,CWy-gV925-gvwg0285lsnQ,ERGON ENERGY,CBA,null,null,null,2022-07-05T14:00:00.000Z,640.53,200
L47 - L47.9,14730006,IvivI4zE_lEp-EQU1eS06A,PAYPALAUIA PPAU,WBC,null,null,null,2021-01-13T14:00:00.000Z,5.34,200
L46 - L46.9,8178577,pwbv4nzdJxRN_lN8qG4jSw,YOUI,CBA,null,null,null,2021-09-26T14:00:00.000Z,37.83,200
L50,8066523,CWy-gV925-gvwg0285lsnQ,ALLIANZ,NAB,null,null,null,2021-07-11T14:00:00.000Z,60.61,200
L61,8062226,62VsiannJXwqJBx-UEuOQg,MACQUARIE INVESTMENT M,MBL,null,null,null,2021-11-07T14:00:00.000Z,210000,200
S26,3065324,QDN9ge5OYpXQSRWlQfCYwA,LIFE DEBIT,WBC,null,null,null,2022-05-02T14:00:00.000Z,13.83,200
S12,10093273,ZMqtoTU0tkNlyg32b-sjIQ,PAYPALAUIA PPAU,WBC,null,null,null,2021-03-09T14:00:00.000Z,35.5,200
S8-S8.9,4167333,sBNlNc4w621pnkuVNgGrsw,PAYRIX AUSTRALIA PTY,ANZ,null,null,null,2022-07-17T14:00:00.000Z,91.25,200
S65 - S65.9,425869,YkVFLMmZLq02SCg0fh7PwQ,BUPA HI PTY LTD,WBC,null,null,null,2022-06-27T14:00:00.000Z,394.73,200
