productCode,userId,accountId,transactionId,type,status,description,amount,statusCode
S1,15493679,2ej2E_jFx0zbmz3vk0rjUw,Muz4tUXHCWieVUL0aLd5AHxUUAc2isNpz55bZAAv_axhl3yzyOBIOxMSCPBD8f84,PAYMENT,POSTED,NPP transfer to D M WATSON - d,-50,200
S8,6938264,nZC-wQzpdaydy9INrsDV4g,vvxnjTmfib340-CAZ0ZxjBsB_gJVz8GeT4Y0mmC86-X1jVtmfWm-lmLUmX5-9rpi,TRANSFER_OUTGOING,POSTED,NPP transfer to swyftx - S,-100,200
S9,10932062,EWO9jOb9zjJMuwrEybQHkg,yyJy5Boc33ncxi8Asso_6f5grMB7NlqZFAB5N_6bC8VrAMQqv1Hj_ZqoawCl6aif,TRANSFER_INCOMING,POSTED,NPP transfer from Mr Andrew James Hall Jones - heritage saving                    ,400,401
S10,12349798,eDyUQL8J7Cy32IIfSrAzlw,W8HJeqfxtAoubaA1TPb3LbXRoJ1rxPBbvZP-59fh9IJ9F7LYTG_3Z6qS_dh3vGOE,TRANSFER_OUTGOING,POSTED,NPP transfer to Tegan Dadson - tegan hair,-160,200
S12,14673266,wQ0g-0JIMnB9jEwlWcltOw,URMsK2ZTslZ2AgpWwMTIH4Vu5iO4QECgfyT9_3g4o1HBt0WkDjP9bXJ_aR7_DCs-,TRANSFER_OUTGOING,POSTED,NPP transfer to L  OYSTON - M,-1400,200
S13,10343458,2qvW-O-p78sAK1OCbGPIbg,RNgFLDmub9zng4iVgJ-VG6ozyWve6sShOArb8biWMpUGHXT6ixKmV1MfHhH5DXEu,TRANSFER_OUTGOING,POSTED,NPP transfer from Square Australia Pty Ltd - T200496311483,176.58,200
S14,14196409,nLdCumc0iNcq0ISwnF1q7A,0IoBEBPAXNKS9CrIKYYRHhqefV_PcgAYw88Yp9THv3k4CimlhYTDnE1gB7FvtRGv8CHBYpNcTfSlElmb7W8Amw,INTEREST_PAID,POSTED,NPP transfer from Mr STEPHEN JOHN CRYER - NOTPROVIDED                        ,50,200
S26,15530809,ALsGEdudrzt3SfHXrc3ZlA,BlopsPehiJuLpEDcnf93LazJ6bT8WGxc9j8zpt9korhAw4z1pkKtJ1HxaCd2Jrh4,TRANSFER_OUTGOING,POSTED,NPP transfer from L FITCH - Transfer,26,200
S27,12047708,AC2jDWoVdKXgqM-cSZSQbA,rHUzcVYUN1kSHgqrz-L7o77cv_g0gsQNFfh2dfgBI_evq0TxsIvjkBUrQ_a13MhH,TRANSFER_OUTGOING,POSTED,NPP transfer from THOMAS BACCHIELLA - Car,150,200
